row,institution,country,size,focus,research,status,age,score_14,score_13,score_12,rank_14,rank_13,rank_12
257,MAHIDOL UNIVERSITY,TH,L,FC,HI,A,4,45.5,41.6,41.63,195,186,172
258,UNIVERSITY OF NEWCASTLE,AU,L,FC,HI,A,3,45.5,40.4,41,195,193,180
259,UNIVERSITI KEBANGSAAN MALAYSIA (UKM),MY,L,FC,VH,A,3,45.4,42.7,,196,177,
260,UNIVERSITY OF OULU,FI,M,FC,VH,A,4,45.4,44.7,41.21,196,166,176
261,UNIVERSITY OF CALIFORNIA RIVERSIDE (UCR),US,L,FC,HI,A,4,45.2,42.8,38.61,197,176,209
262,UNIVERSIDAD DE LOS ANDES COLOMBIA,CO,L,FC,MD,B,4,45.1,42.2,35.36,198,181,227
263,UNIVERSITÀ DEGLI STUDI DI PADOVA (UNIPD),IT,XL,FC,VH,A,5,45.1,42.9,38.99,198,175,204
264,UNIVERSITY OF TECHNOLOGY SYDNEY (UTS),AU,L,CO,VH,A,3,45,42.4,39.98,199,179,193
265,LOUGHBOROUGH UNIVERSITY,UK,L,FO,VH,A,3,44.9,,,200,,
266,UNIVERSITY OF CALIFORNIA SANTA CRUZ (UCSC),US,L,CO,VH,A,3,44.9,39.5,38.1,200,197,213
267,UMEÅ UNIVERSITY,SE,L,FC,HI,A,3,44.8,,39.01,201,,203
268,UNIVERSITY OF EASTERN FINLAND,FI,M,CO,VH,A,3,44.8,41.2,38.87,201,190,208
269,TECHNISCHE UNIVERSITÄT DARMSTADT,DE,L,FO,VH,A,5,44.7,43.8,40.39,202,170,185
270,UNIVERSITY OF IOWA,US,L,FC,VH,A,5,44.7,46.5,49.18,202,155,136
271,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,BR,XL,FC,VH,A,4,44.5,41.5,35.39,203,187,226
272,INDIANA UNIVERSITY BLOOMINGTON,US,XL,FC,VH,A,5,44.4,45.9,48.15,204,158,144
273,UNIVERSITY OF LIEGE,BE,L,FC,VH,A,5,44.4,45.9,,204,158,
274,UNIVERSITÄT STUTTGART,DE,L,CO,VH,A,5,44.3,45.4,45.36,205,161,157
275,KYUNG HEE UNIVERSITY,KR,L,FC,VH,B,4,44.2,44.5,,206,167,
276,ROYAL HOLLOWAY UNIVERSITY OF LONDON,UK,M,CO,VH,A,5,44.2,,,206,,
277,VICTORIA UNIVERSITY OF WELLINGTON,NZ,L,CO,VH,A,5,44.2,,,206,,
278,UNIVERSITÉ PARIS DESCARTES,FR,L,FC,VH,A,5,44,42.2,37.64,207,181,216
279,RUTGERS - THE STATE UNIVERSITY OF NEW JERSEY NEW BRUNSWICK,US,XL,CO,VH,A,5,43.7,44.5,41.31,208,167,175
280,NATIONAL UNIVERSITY OF IRELAND GALWAY (NUIG),IE,L,FC,HI,A,5,43.6,41.5,39.85,209,187,196
281,YESHIVA UNIVERSITY,US,M,FC,VH,B,5,43.6,42.7,43.09,209,177,165
282,UNIVERSITY OF MASSACHUSETTS AMHERST,US,L,CO,VH,A,5,43.5,43.5,39.43,210,171,198
283,LINKÖPING UNIVERSITY,SE,L,CO,VH,A,3,43.4,38.1,35.03,211,209,230
284,UNIVERSITY OF WOLLONGONG,AU,L,FC,HI,A,3,43.4,42.1,41.11,211,182,177
285,QUEENSLAND UNIVERSITY OF TECHNOLOGY (QUT),AU,XL,CO,VH,A,2,43.2,41.9,,212,184,
286,UNIVERSITÄT ERLANGEN-NÜRNBERG,DE,XL,FC,VH,A,5,43.2,42,40.96,212,183,181
287,UNIVERSIDAD AUSTRAL,AR,S,CO,MD,B,2,43.1,38.8,35.89,213,202,223
288,UNIVERSITÄT INNSBRUCK,AT,L,FC,HI,A,5,42.9,41.3,40.37,214,189,186
289,UNIVERSITÄT LEIPZIG,DE,L,FC,VH,A,5,42.3,39.3,36.65,215,199,220
290,ÉCOLE DES PONTS PARISTECH,FR,S,FO,HI,A,5,42.2,40.2,38.9,216,194,207
291,UNIVERSITY OF VICTORIA,CA,L,CO,VH,A,4,42.2,38.6,38.93,216,204,205
292,BEN GURION UNIVERSITY OF THE NEGEV,IL,L,FC,VH,A,3,42.1,,,217,,
293,UNIVERSITY OF PORTO,PT,XL,FC,VH,A,5,42,37.3,,218,213,
294,ARIZONA STATE UNIVERSITY,US,XL,CO,VH,A,5,41.9,40.9,35.73,219,191,225
295,KOBE UNIVERSITY,JP,L,FC,VH,A,4,41.9,,,219,,
296,TOKYO MEDICAL AND DENTAL UNIVERSITY,JP,S,FO,VH,A,4,41.9,42.1,40.34,219,182,187
297,UNIVERSITI TEKNOLOGI MALAYSIA (UTM),MY,L,CO,VH,A,5,41.9,36,33.65,219,221,238
298,LAVAL UNIVERSITY,CA,L,FC,VH,A,5,41.7,38.2,,220,208,
299,UNIVERSITAT POMPEU FABRA,ES,M,CO,VH,A,2,41.7,41.8,41.08,220,185,179
300,GEORGE WASHINGTON UNIVERSITY,US,L,FC,VH,B,5,41.6,,,221,,
301,INDIAN INSTITUTE OF TECHNOLOGY KANPUR (IITK),IN,M,CO,VH,A,4,41.6,40.7,40.32,221,192,188
302,JOHANNES GUTENBERG UNIVERSITÄT MAINZ,DE,XL,FC,VH,A,5,41.6,,,221,,
303,RMIT UNIVERSITY,AU,L,CO,VH,A,2,41.6,,,221,,
304,UNIVERSITY AT BUFFALO SUNY,US,L,FC,VH,A,5,41.6,40.1,38.06,221,195,215
305,AL-FARABI KAZAKH NATIONAL UNIVERSITY,KZ,L,CO,MD,A,4,41.3,40.2,31.72,222,194,247
306,UNIVERSITÁ DEGLI STUDI DI ROMA - TOR VERGATA,IT,XL,CO,VH,A,3,41.3,38.7,35.31,222,203,228
307,UNIVERSITÄT KÖLN,DE,XL,FC,VH,B,5,41.3,,,222,,
308,UNIVERSITY OF SOUTHERN DENMARK,DK,L,FO,VH,A,3,41.1,39.3,37.28,223,199,218
309,UNIVERSITI SAINS MALAYSIA (USM),MY,L,FC,VH,A,4,41,36,,224,221,
310,UNIVERSITÄT KONSTANZ,DE,M,CO,VH,A,3,40.9,42.3,40.31,225,180,189
311,UNIVERSITY OF INDONESIA,ID,XL,FC,MD,A,5,40.9,39.4,40.74,225,198,183
312,UNIVERSIDADE NOVA DE LISBOA,PT,L,FC,HI,A,3,40.8,36.1,,226,220,
313,UNIVERSITY OF UTAH,US,L,FC,VH,A,5,40.7,42.5,41.57,227,178,173
314,HIROSHIMA UNIVERSITY,JP,L,FC,VH,A,4,40.5,39.5,40.29,228,197,190
315,UNIVERSITY OF SURREY,UK,L,CO,VH,A,5,40.5,,,228,,
316,BRANDEIS UNIVERSITY,US,M,CO,VH,B,4,40.4,38.5,,229,205,
317,UNIVERSIDAD NACIONAL DE COLOMBIA,CO,XL,FC,HI,A,5,40.4,38.4,32.13,229,206,246
318,HONG KONG BAPTIST UNIVERSITY (HKBU),HK,M,FC,HI,A,2,40.3,41.4,40.88,230,188,182
319,UNIVERSITY OF JYVÄSKYLÄ,FI,M,CO,VH,A,4,40.3,40.2,38.16,230,194,212
320,UNIVERSITY OF THE WITWATERSRAND,ZA,L,FC,HI,A,5,40.3,39.2,33.29,230,200,242
321,INDIAN INSTITUTE OF TECHNOLOGY MADRAS (IITM),IN,M,CO,VH,A,4,40.2,39.2,38.09,231,200,214
322,SUN YAT-SEN UNIVERSITY,CN,XL,FC,VH,A,4,40.2,34.1,,231,232,
323,BAUMAN MOSCOW STATE TECHNICAL UNIVERSITY,RU,L,FO,HI,A,5,40.1,38,34.13,232,210,237
324,GRIFFITH UNIVERSITY,AU,L,FC,HI,A,3,40,37.7,,233,212,
325,INDIAN INSTITUTE OF TECHNOLOGY KHARAGPUR (IITKGP),IN,M,FO,VH,A,4,40,37.1,34.43,233,215,235
326,L.N. GUMILYOV EURASIAN NATIONAL UNIVERSITY,KZ,L,CO,MD,A,2,40,,,233,,
327,UNIVERSITY OF HAWAII AT MĀNOA,US,L,FC,VH,A,5,40,38.3,40.09,233,207,192
328,NANKAI UNIVERSITY,CN,L,FC,VH,A,4,39.9,35.5,,234,224,
329,NOVOSIBIRSK STATE UNIVERSITY,RU,M,FC,HI,A,4,39.9,36.2,32.94,234,219,244
330,UNIVERSITÄT MANNHEIM,DE,L,FO,VH,A,5,39.9,,,234,,
331,CURTIN UNIVERSITY,AU,XL,CO,VH,A,3,39.8,41.5,41.5,235,187,174
332,SOAS - SCHOOL OF ORIENTAL AND AFRICAN STUDIES UNIVERSITY OF LONDON,UK,S,SP,VH,A,4,39.8,,,235,,
333,UNIVERSITY OF SOUTH AUSTRALIA (UNISA),AU,L,CO,VH,A,2,39.7,37.7,39.26,236,212,201
334,KING ABDUL AZIZ UNIVERSITY (KAU),SA,XL,FC,HI,A,3,39.6,35.8,,237,222,
335,UNIVERSITY OF WARSAW,PL,XL,CO,VH,A,5,39.5,37.8,,238,211,
336,WUHAN UNIVERSITY,CN,XL,FC,VH,A,5,39.5,,,238,,
337,UNIVERSITAT POLITÈCNICA DE CATALUNYA,ES,L,CO,VH,A,3,39.3,37.2,34.33,239,214,236
338,ECOLE NORMALE SUPÉRIEURE DE CACHAN,FR,S,CO,VH,A,5,39.2,38,,240,210,
339,UNIVERSITY OF TROMSO,NO,M,FC,VH,A,3,39.2,,,240,,
340,WAKE FOREST UNIVERSITY,US,M,FC,VH,B,5,39.2,38.2,37.36,240,208,217
341,BOSTON COLLEGE,US,L,CO,HI,B,5,39.1,38.1,35.84,241,209,224
342,CITY UNIVERSITY LONDON,UK,L,CO,HI,A,5,39.1,,,241,,
343,JULIUS-MAXIMILIANS-UNIVERSITÄT WÜRZBURG,DE,L,FC,VH,A,5,39.1,38.4,39.34,241,206,200
344,UNIVERSITÉ AIX-MARSEILLE,FR,XL,FC,VH,A,5,39.1,36,,241,221,
345,UNIVERSITÀ DEGLI STUDI DI NAPOLI FEDERICO II,IT,XL,FC,VH,A,5,39,33.3,,242,236,
346,MASSEY UNIVERSITY,NZ,L,CO,VH,A,4,38.9,37.3,38.19,243,213,211
347,PONTIFICIA UNIVERSIDAD JAVERIANA,CO,L,FC,MD,B,5,38.8,36.8,,244,217,
348,IOWA STATE UNIVERSITY,US,L,CO,VH,A,5,38.5,38.6,37.24,245,204,219
349,UNIVERSITÄT BREMEN,DE,L,CO,VH,A,3,38.5,35.2,34.46,245,226,233
350,JAMES COOK UNIVERSITY (JCU),AU,M,FC,VH,A,3,38.4,36.5,33.49,246,218,241
351,UNIVERSITY OF COIMBRA,PT,L,FC,VH,A,5,38.3,,,247,,
352,HERIOT-WATT UNIVERSITY,UK,M,CO,VH,A,3,38.1,,,248,,
353,STONY BROOK UNIVERSITY,US,L,FC,VH,A,4,38.1,37.8,38.91,248,211,206
354,UNIVERSITÀ DEGLI STUDI DI FIRENZE (UNIFI),IT,XL,FC,VH,A,4,38.1,34.5,,248,230,
355,BRUNEL UNIVERSITY,UK,L,CO,VH,A,3,38,,,249,,
356,EWHA WOMANS UNIVERSITY,KR,L,FC,HI,B,5,38,35.6,34.94,249,223,231
357,UNIVERSIDAD CARLOS III DE MADRID,ES,L,FO,VH,A,3,38,38.8,34.58,249,202,232
358,VIRGINIA POLYTECHNIC INSTITUTE (VIRGINIA TECH),US,XL,FC,VH,A,5,38,,35.2,249,,229
359,RENSSELAER POLYTECHNIC INSTITUTE,US,M,CO,VH,B,5,37.7,36.1,39.07,250,220,202
360,AMERICAN UNIVERSITY IN CAIRO,EG,M,CO,HI,B,4,37.5,36.9,31.62,251,216,249
361,DEAKIN UNIVERSITY,AU,XL,FC,HI,A,3,37.5,34.4,,251,231,
362,TAMPERE UNIVERSITY OF TECHNOLOGY,FI,M,CO,VH,A,3,37.4,,,252,,
363,AALBORG UNIVERSITY,DK,L,FC,HI,A,3,37.3,38,34.13,253,210,237
364,UNIVERSITÉ DE BORDEAUX,FR,XL,FO,VH,A,5,37.3,,,253,,
365,POLITECNICO DI TORINO,IT,L,FO,VH,A,5,37.1,35.2,,254,226,
366,DUBLIN CITY UNIVERSITY (DCU),IE,M,CO,VH,A,3,37,36.8,35.97,255,217,222
367,TILBURG UNIVERSITY,NL,M,FO,VH,A,4,36.9,34.8,,256,228,
368,UNIVERSITÉ PARIS DAUPHINE,FR,M,SP,HI,A,3,36.9,,,256,,
369,UNIVERSITY OF THE PHILIPPINES,PH,XL,FC,MD,A,5,36.9,34.4,34.45,256,231,234
370,UNIVERSITY OF ESSEX,UK,L,CO,HI,A,4,36.8,,,257,,
371,JAGIELLONIAN UNIVERSITY,PL,XL,CO,VH,A,5,36.6,34.6,,258,229,
372,NATIONAL TAIWAN UNIVERSITY OF SCIENCE AND TECHNOLOGY,TW,M,FO,VH,A,3,36.6,,31.38,258,,251
373,UNIVERSITÀ DEGLI STUDI DI PAVIA (UNIPV),IT,L,FC,HI,A,5,36.6,,,258,,
374,UNIVERSITY OF KANSAS,US,L,FC,VH,A,5,36.6,34.6,,258,229,
375,UNIVERSITY OF MISSISSIPPI,US,L,CO,VH,A,5,36.5,,,259,,
376,UNIVERSITI PUTRA MALAYSIA (UPM),MY,L,FC,VH,A,3,36.4,,,260,,
377,UNIVERSITÀ CATTOLICA DEL SACRO CUORE,IT,XL,CO,VH,B,4,36.2,,,261,,
378,UNIVERSITY OF TEXAS DALLAS,US,L,CO,VH,A,3,36.2,35.4,,261,225,
379,OXFORD BROOKES UNIVERSITY,UK,L,CO,HI,A,5,36.1,,,262,,
380,TAIPEI MEDICAL UNIVERSITY,TW,M,FO,VH,B,4,36.1,35.5,36.28,262,224,221
381,UNIVERSITY OF TARTU,EE,L,FC,HI,A,5,36.1,,,262,,
382,WASHINGTON STATE UNIVERSITY,US,L,FC,VH,A,5,36.1,35.4,,262,225,
383,XI'AN JIAOTONG UNIVERSITY,CN,L,FC,VH,A,5,36.1,35.1,33.52,262,227,240
384,SOGANG UNIVERSITY,KR,M,CO,VH,B,4,36,,31.64,263,,248
385,POLITÉCNICA DE MADRID,ES,L,SP,VH,A,3,35.9,33.6,,264,235,
386,UNITED ARAB EMIRATES UNIVERSITY,AE,M,FC,HI,A,3,35.9,,,264,,
387,UNIVERSITY OF TAMPERE,FI,M,CO,VH,A,4,35.9,34.6,31.44,264,229,250
388,NORTH CAROLINA STATE UNIVERSITY,US,L,CO,VH,A,5,35.8,39.7,39.4,265,196,199
389,RUHR-UNIVERSITÄT BOCHUM,DE,XL,FC,VH,A,4,35.8,35.4,,265,225,
390,AMERICAN UNIVERSITY OF SHARJAH,AE,M,FC,MD,B,2,35.6,,,266,,
391,ASTON UNIVERSITY,UK,M,CO,VH,A,3,35.6,,,266,,
392,STELLENBOSCH UNIVERSITY,ZA,L,FC,HI,A,5,35.6,33.7,,266,234,
393,TONGJI UNIVERSITY,CN,XL,FC,VH,A,5,35.5,,,267,,
394,UNIVERSITÀ DEGLI STUDI DI TORINO (UNITO),IT,XL,FC,VH,A,5,35.2,33.2,,268,237,
395,UNIVERSITÄT REGENSBURG,DE,L,CO,VH,A,4,35,,32.91,269,,245
396,CHRISTIAN-ALBRECHTS-UNIVERSITÄT ZU KIEL,DE,L,FC,VH,A,5,34.9,40.9,41.1,270,191,178
397,UNIVERSITÄT JENA,DE,L,FC,VH,A,5,34.8,35.5,,271,224,
398,UNIVERSITY OF NEW MEXICO,US,L,FC,VH,A,5,34.8,,31.32,271,,252
399,BILKENT UNIVERSITY,TR,M,CO,VH,B,3,34.7,,,272,,
400,BOGAZIÇI ÜNIVERSITESI,TR,M,CO,VH,A,5,34.7,,,272,,
401,MOSCOW STATE INSTITUTE OF INTERNATIONAL RELATIONS (MGIMO-UNIVERSITY),RU,M,FO,LO,A,4,34.7,33.8,33.03,272,233,243
402,NORTHEASTERN UNIVERSITY,US,L,CO,VH,B,5,34.7,33.3,,272,236,
